microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
nhaA	K03313	NA	2.A.33.1	Na+:H+ antiporter, NhaA family	NA	33.6	1	1	1	0	0	1
nhaB	K03314	NA	2.A.34.1	Na+:H+ antiporter, NhaB family	NA	200.4	1	1	1	0	0	1
nhaC	K03315	NA	2.A.35.1.2_P54571;2.A.35.1.3_Q838N7;2.A.35.1.4_B0R9X2	Na+:H+ antiporter, NhaC family	NA	120.7	0.990246	0.998643	1	3.4e-06	0.001357	0.999996
niaX	K16788	NA	2.A.88.5.1_Q99Z31;2.A.88.5.2_A2RKV5	niacin transporter	NA	68	0.996	0.992	1	0	0.008	1
nikA	K15584	NA	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	nickel transport system substrate-binding protein	NA	449.4	0.962963	0.9567	1	1.76e-06	0.04329	1
nikB	K15585	NA	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	nickel transport system permease protein	NA	383.9	0.948235	0.94824	1	2.77e-06	0.05176	1
nikC	K15586	NA	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	nickel transport system permease protein	NA	347.7	0.945189	0.92601	1	1.76e-06	0.07399	1
nikD	K15587	3.6.3.24	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	nickel transport system ATP-binding protein [EC:3.6.3.24]	NA	322.1	0.085076	0.7266	0.999	0.000785	0.2734	0.999
nikE	K10824	3.6.3.24	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	nickel transport system ATP-binding protein [EC:3.6.3.24]	NA	295.5	0.105217	0.88861	0.999	0.000763	0.11139	0.999
nisG	K20492	NA	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	lantibiotic transport system permease protein	NA	111.9	0.993	1	1	3.78e-07	0	1
nisE	K20491	NA	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	lantibiotic transport system permease protein	NA	154.5	0.917466	0.84752	1	0	0.15248	1
nisF	K20490	NA	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	lantibiotic transport system ATP-binding protein	NA	326.3	0.840404	0.73759	1	6.3e-07	0.26241	1
nisA	K20482	NA	1.C.20	lantibiotic bacteriocin	NA	33.1	1	1	1	0	0	1
ptsP	K08484	2.7.3.9	NA	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]	NA	650	0.989746	0.9806	1	1.26e-07	0.019435	0.999997
ptsO	K08485	NA	NA	phosphocarrier protein NPr	NA	109.3	0.932088	0.95645	1	6.93e-06	0.0436	1
ntrEIIA	K02806	2.7.1.69	NA	PTS system, nitrogen regulatory IIA component [EC:2.7.1.69]	NA	144.6	0.807091	0.68647	1	4.16e-06	0.313525	0.999907
nixA	K07241	NA	2.A.52.1	high-affinity nickel-transport protein	NA	27.6	0.99945	1	1	1.26e-07	0	1
nodI	K09695	NA	3.A.1.102.1_P50332	lipooligosaccharide transport system ATP-binding protein	NA	444.9	0.651054	0.64501	1	1.83e-05	0.35499	1
nodJ	K09694	NA	3.A.1.102.1_P50333	lipooligosaccharide transport system permease protein	NA	163.1	0.999021	0.99804	1	0	0.00196	1
nosF	K19340	NA	3.A.1.132.2	Cu-processing system ATP-binding protein	NA	311.5	0.295	0.82337	1	0.000174	0.17663	1
nosY	K19341	NA	3.A.1.132.2	Cu-processing system permease protein	NA	141.4	0.976801	0.96154	1	3.78e-07	0.03846	1
nrsA	K11326	NA	2.A.6.1	cation efflux system protein involved in nickel and cobalt tolerance	NA	1880.7	1	1	1	0	0	1
nrtD	K15579	NA	3.A.1.16.1;3.A.1.16.2	nitrate/nitrite transport system ATP-binding protein	NA	394.9	0.382	1	1	1.59e-05	0	1
nrtC	K15578	3.6.3.-	3.A.1.16.1	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]	NA	351.5	0.882175	0.95052	1	1.98e-05	0.04948	1
nrtB	K15577	NA	3.A.1.16.1;3.A.1.16.2	nitrate/nitrite transport system permease protein	NA	257.1	0.958491	0.98961	1	7.3e-06	0.01039	1
nrtA	K15576	NA	3.A.1.16.1;3.A.1.16.2	nitrate/nitrite transport system substrate-binding protein	NA	474.9	0.87234	0.88005	1	1.37e-05	0.11995	1
nukE	K20460	NA	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	lantibiotic transport system permease protein	NA	151.5	0.95	0.90411	1	0	0.09589	1
nukF	K20459	NA	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	lantibiotic transport system ATP-binding protein	NA	370.2	0.823	0.73783	1	1.89e-06	0.26217	1
nukG	K20461	NA	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	lantibiotic transport system permease protein	NA	155.8	0.96	0.92969	1	2.52e-07	0.07031	1
nupC	K11535	NA	2.A.41.1.1_P0AFF2;2.A.41.1.2_P39141	nucleoside transport protein	NA	602.7	0.891126	0.87624	1	9.19e-06	0.12376	0.999978
nupG	K03289	NA	2.A.1.10.1_P0AFF4	MFS transporter, NHS family, nucleoside permease	NA	673.2	0.98	0.9607	1	0	0.0393	1
nupX	K16325	NA	2.A.41.2.10_P33021	nucleoside permease	NA	850.9	0.975	0.9516	1	0	0.0484	1
occP	K10021	3.6.3.-	3.A.1.3.23_Q9HU32	octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]	NA	452.4	0.813	0.68452	1	0	0.31548	1
occQ	K10020	NA	3.A.1.3.5;3.A.1.3.6	octopine/nopaline transport system permease protein	NA	277.8	0.95	0.933	1	7.55e-07	0.06701	1
occM	K10019	NA	3.A.1.3.23_Q9HU29	octopine/nopaline transport system permease protein	NA	311.7	0.944	0.89447	1	0	0.10553	1
occT	K10018	NA	3.A.1.3.5;3.A.1.3.6	octopine/nopaline transport system substrate-binding protein	NA	288.2	0.968	0.9559	1	5.04e-07	0.0441	1
oleC4	K18232	NA	3.A.1.105.2	oleandomycin transport system ATP-binding protein	NA	465	0.973	0.96491	1	2.52e-07	0.03509	1
oleC5	K18233	NA	3.A.1.105.2	oleandomycin transport system permease protein	NA	335.2	0.967	0.9508	1	1.26e-07	0.0492	1
ompA	K03162	NA	1.B.2.1.1_P10332	major outer membrane protein	NA	72	1	1	1	0	0	1
opmD	K18308	NA	1.B.17;2.A.6.2.32	outer membrane protein, multidrug efflux system	NA	584.7	1	1	1	0	0	1
opmE	K19593	NA	1.B.17;2.A.6.2.34	outer membrane protein, multidrug efflux system	NA	641.2	1	1	1	0	0	1
oppA1	K15580	NA	3.A.1.5.18_O31315;3.A.1.5.18_O50927;3.A.1.5.18_O51307;3.A.1.5.18_O51308;3.A.1.5.18_O54584;3.A.1.5.19_Q2FZR3;3.A.1.5.1_P06202;3.A.1.5.1_P77348;3.A.1.5.25_Q64K09;3.A.1.5.25_Q9CIL2;3.A.1.5.37_B1W1M2;3.A.1.5.41_P23843;3.A.1.5.41_P77348;3.A.1.5.41_Q46863	oligopeptide transport system substrate-binding protein	NA	387.1	0.887118	0.875835	1	5.77e-05	0.124165	0.99987
oppB1	K15581	NA	3.A.1.5.18_O31307;3.A.1.5.19_Q2FZR7;3.A.1.5.1_P08005;3.A.1.5.25_Q9CIL1;3.A.1.5.37_B1W1M1;3.A.1.5.41_P0AFH2	oligopeptide transport system permease protein	NA	340.7	0.864208	0.84269	1	3.43e-05	0.157312	0.999916
oppC1	K15582	NA	3.A.1.5.18_O51310;3.A.1.5.19_Q2FZR6;3.A.1.5.1_P08006;3.A.1.5.25_Q9CIL0;3.A.1.5.37_B1W1M0;3.A.1.5.41_P0AFH6	oligopeptide transport system permease protein	NA	354.4	0.849008	0.77848	1	1.76e-05	0.221519	0.999912
oppD1	K15583	NA	3.A.1.5.18_O31309;3.A.1.5.19_Q2FZR5;3.A.1.5.1_P04285;3.A.1.5.20_P42064;3.A.1.5.25_Q9CIK9;3.A.1.5.37_B1W1L9;3.A.1.5.41_P76027	oligopeptide transport system ATP-binding protein	NA	459.1	0.345731	0.816158	0.999	0.000888	0.183842	0.999056
oppF1	K10823	NA	3.A.1.5.18_O31310;3.A.1.5.19_Q2FZR4;3.A.1.5.1_P08007;3.A.1.5.20_P42065;3.A.1.5.25_Q9CIK8;3.A.1.5.37_B1W1L8;3.A.1.5.41_P77737	oligopeptide transport system ATP-binding protein	NA	435.8	0.348568	0.76844	0.999	0.000875	0.23156	0.999049
oprB	K07267	NA	1.B.19.1.1_Q51485;1.B.19.1.2_A4LTL1	porin	NA	109	0.988299	0.97861	1	2.52e-07	0.02139	0.999997
oprD	K18093	3.4.21.-	1.B.25.1.11_Q9I0E2;1.B.25.1.12_Q9I6X0;1.B.25.1.1_P32722;1.B.25.1.32_B7V849;1.B.25.1.7_Q9I202;1.B.25.1.8_Q9HUR5	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]	NA	471.9	0.989967	0.9801	1	0	0.01987	1
oprN	K18300	NA	1.B.17	outer membrane protein, multidrug efflux system	NA	554.6	0.889	0.8	1	0	0.2	1
oprO_P	K07221	1.B.5.1	NA	phosphate-selective porin OprO and OprP	NA	68.1	1	1	1	0	0	1
opuBD	K05846	NA	3.A.1.12.10_Q87WH4;3.A.1.12.11_Q8Q042;3.A.1.12.11_Q8Q043;3.A.1.12.14_Q8ZPK1;3.A.1.12.14_Q8ZPK3;3.A.1.12.15_P33359;3.A.1.12.15_P33361;3.A.1.12.4_O34742;3.A.1.12.4_O34878;3.A.1.12.8_Q93A34	osmoprotectant transport system permease protein	NA	167.7	0.971446	0.958773	1	9.57e-06	0.041227	0.999964
opuA	K05847	NA	3.A.1.12.10_Q87WH5;3.A.1.12.11_Q8Q041;3.A.1.12.14_Q8ZPK4;3.A.1.12.15_P33360;3.A.1.12.4_O34992;3.A.1.12.8_Q93A35	osmoprotectant transport system ATP-binding protein	NA	354.2	0.925702	0.896077	1	1.46e-05	0.103923	0.999947
opuC	K05845	NA	3.A.1.12.10_Q87WH3;3.A.1.12.11_Q8Q040;3.A.1.12.14_Q8ZPK2;3.A.1.12.15_P33362;3.A.1.12.4_O32243	osmoprotectant transport system substrate-binding protein	NA	79.1	0.994855	0.991667	1	7.56e-07	0.00833	0.999996
oqxB	K19585	NA	2.A.6.2.47	multidrug efflux pump	NA	1907.8	0.985	0.97015	1	0	0.02985	1
oxlT	K08177	NA	2.A.1.11.3_P37662	MFS transporter, OFA family, oxalate/formate antiporter	NA	127.4	0.996324	0.99358	1	1.26e-07	0.006416	0.999999
pap	K02029	NA	3.A.1.3.15_P54536;3.A.1.3.23_Q9HU29;3.A.1.3.23_Q9HU30;3.A.1.3.24_Q9F3K6	polar amino acid transport system permease protein	NA	207.7	0.690789	0.847	0.999	0.000926	0.15343	0.99884
pas	K02028	3.6.3.21	3.A.1.3.15_P54537;3.A.1.3.23_Q9HU32;3.A.1.3.24_Q9F3K7;3.A.1.3.25_Q9CES4	polar amino acid transport system ATP-binding protein [EC:3.6.3.21]	NA	322.6	0.518386	0.877218	0.999	0.00148	0.122782	0.998404
paa	K02030	NA	2.A.56.3.1_P74223;3.A.1.3.15_P54535;3.A.1.3.15_P54536;3.A.1.3.23_Q9HU31;3.A.1.3.24_Q9F3K5;3.A.1.3.25_Q9CES5;3.A.1.3.27_Q8RCC4	polar amino acid transport system substrate-binding protein	NA	112.6	0.60664	0.763	0.999	0.00134	0.23654	0.99824
panF	K14392	NA	2.A.21.1	sodium/pantothenate symporter	NA	408	0.961334	0.9269	1	1.26e-07	0.0731	1
pbuE	K18567	NA	2.A.1.2.25_Q797E3	MFS transporter, DHA1 family, purine base/nucleoside efflux pump	NA	395.9	0.973	0.94694	1	0	0.05306	1
pbuG	K06901	NA	2.A.40.7.2_O34987;2.A.40.7.4_P31440;2.A.40.7.5_P0AF52;2.A.40.7.6_P31466;2.A.40.7.7_Q46817	putative MFS transporter, AGZA family, xanthine/uracil permease	NA	71.7	0.984486	0.970211	1	5.04e-07	0.0298	0.99998
peb1A	K10039	NA	3.A.1.3.16_Q0P9X8	putative glutamine transport system substrate-binding protein	NA	264.6	0.980392	0.98619	1	1.64e-06	0.01381	1
peb1B	K10040	NA	3.A.1.3.16_A1VZQ3	putative glutamine transport system permease protein	NA	239	0.955981	0.96046	1	5.92e-06	0.03954	0.999989
peb1C	K10041	3.6.3.-	3.A.1.3.16_A3ZI83	putative glutamine transport system ATP-binding protein [EC:3.6.3.-]	NA	407.9	0.88734	0.80421	1	5.04e-07	0.19579	1
phaC	K05560	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit C	NA	145.2	0.997361	0.99474	1	0	0.00526	1
phaF	K05563	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit F	NA	97.6	0.991197	0.98255	1	0	0.01745	1
phaG	K05564	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit G	NA	109.6	0.994728	0.98951	1	0	0.01049	1
phaE	K05562	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit E	NA	151.4	0.996503	0.99303	1	0	0.00697	1
phaD	K05561	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit D	NA	519.8	0.99911	0.99822	1	0	0.00178	1
phaA	K05559	NA	2.A.63.1	multicomponent K+:H+ antiporter subunit A	NA	1114.2	0.991119	0.98239	1	0	0.01761	1
pheP	K11732	NA	2.A.3.1.1_P24207	phenylalanine-specific permease	NA	774.6	0.995	0.991	1	0	0.00897	1
phnS	K11081	NA	3.A.1.11.5	2-aminoethylphosphonate transport system substrate-binding protein	NA	449.5	0.998	0.99609	1	0	0.00391	1
phnV	K11082	NA	3.A.1.11.5	2-aminoethylphosphonate transport system permease protein	NA	307.5	0.988	0.97581	1	0	0.0242	1
phnU	K11083	NA	3.A.1.11.5	2-aminoethylphosphonate transport system permease protein	NA	340.2	1	1	1	0	0	1
phnT	K11084	NA	3.A.1.11.5	2-aminoethylphosphonate transport system ATP-binding protein	NA	474.8	1	1	1	0	0	1
phnC	K02041	3.6.3.28	3.A.1.9	phosphonate transport system ATP-binding protein [EC:3.6.3.28]	NA	335.2	0.76379	0.650636	1	1.21e-05	0.34936	0.999908
phnE	K02042	NA	3.A.1.9	phosphonate transport system permease protein	NA	106.6	0.995673	0.991754	1	1.26e-07	0.00825	0.999997
phnD	K02044	NA	3.A.1.9	phosphonate transport system substrate-binding protein	NA	113.3	0.966766	0.937603	1	6.3e-07	0.0624	0.99998
PHO84	K08176	NA	2.A.1.1.15_P95908	MFS transporter, PHS family, inorganic phosphate transporter	NA	390.4	0.96	0.9231	1	0	0.0769	1
phoE	K11929	NA	1.B.1.1.2	outer membrane pore protein E	NA	555	0.95292	0.9101	1	0	0.0899	1
pit	K16322	NA	2.A.20.1	low-affinity inorganic phosphate transporter	NA	555.5	0.993949	0.99245	1	3.78e-07	0.00755	1
proY	K11736	NA	2.A.3.1.23_P0AAE2;2.A.3.1.6_P37460	proline-specific permease ProY	NA	853.7	0.996	0.9915	1	0	0.00855	1
pstC	K02037	NA	3.A.1.7	phosphate transport system permease protein	NA	214.6	0.991534	0.986652	1	2.02e-06	0.013348	0.99999
pstA	K02038	NA	3.A.1.7	phosphate transport system permease protein	NA	234.7	0.982065	0.96794	1	1.89e-06	0.03206	0.99998
pstB	K02036	3.6.3.27	3.A.1.7	phosphate transport system ATP-binding protein [EC:3.6.3.27]	NA	301.2	0.989354	0.981098	1	1.39e-06	0.018902	0.999987
pstS	K02040	NA	3.A.1.7	phosphate transport system substrate-binding protein	NA	64.5	0.995702	0.992258	1	6.3e-07	0.00774	0.999993
psuT	K16324	NA	2.A.41.2.10_P33021	putative pseudouridine transporter	NA	666.1	0.792	0.9833	1	7.55e-06	0.01667	1
ptsI	K08483	2.7.3.9	4.A.2.1.26_Q5V5X2	phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]	NA	559	0.87628	0.915043	1	8.07e-05	0.084957	0.99988
fruB	K11183	NA	4.A.1.1.15_Q9HXN5;4.A.2.1.17_Q9HY55;4.A.2.1.19_M7QAG8;4.A.2.1.1_P69811	phosphocarrier protein FPr	NA	723.3	0.540244	0.442557	1	2.47e-05	0.5574	0.999905
hpr	K11189	NA	4.A.1.1.15_Q9HXN5;4.A.2.1.19_M7QAG8;4.A.2.1.26_Q5V5X3	phosphocarrier protein	NA	22.9	0.702505	0.995359	1	0.000387	0.00464	0.999611
ptsH	K02784	NA	8.A.8.1.1	phosphocarrier protein HPr	NA	118.8	0.936648	0.9527	1	6.3e-06	0.04731	1
pucJ	K16170	NA	2.A.40.3.2	uric acid permease	NA	968.7	1	1	1	0	0	1
putP	K11928	NA	2.A.21.2.1_P07117;2.A.21.2.2_Q7A4Q7;2.A.21.2.3_Q9I5F5;2.A.21.2.4_J7JIE8;2.A.21.2.6_O24896	sodium/proline symporter	NA	353.8	0.902113	0.96778	1	3.75e-05	0.03222	0.999956
puuP	K14052	NA	2.A.3.1.13	putrescine importer	NA	232	1	1	1	0	0	1
pvdE	K06160	NA	3.A.1.113.2	putative ATP-binding cassette transporter	NA	567	0.887515	0.83488	1	2.52e-06	0.16512	1
rbsA	K10441	3.6.3.17	3.A.1.2.20_G4FGN3	ribose transport system ATP-binding protein [EC:3.6.3.17]	NA	613.7	0.656528	0.65837	1	0.000179	0.34163	0.999645
rbsB	K10439	NA	3.A.1.2.20_G4FGN5	ribose transport system substrate-binding protein	NA	198.7	0.713873	0.827903	1	0.000323	0.172097	0.999564
rbsC	K10440	NA	3.A.1.2.18_Q9WXW7;3.A.1.2.20_G4FGN4;3.A.1.2.6_P32720	ribose transport system permease protein	NA	308.5	0.59665	0.635831	1	0.00032	0.364169	0.999445
rbsU	K06216	NA	2.A.7.5	putative ribose uptake protein	NA	299.1	0.996	0.99145	1	0	0.00855	1
rcnA	K08970	NA	2.A.52.2	nickel/cobalt exporter	NA	118.1	1	1	1	0	0	1
rhaP	K10560	NA	3.A.1.2.9_Q7BSH3	rhamnose transport system permease protein	NA	323.4	0.959	0.96786	1	1.76e-06	0.03214	1
rhaQ	K10561	NA	3.A.1.2.9	rhamnose transport system permease protein	NA	307.4	0.967	0.98246	1	1.76e-06	0.01754	1
rhaS	K10559	NA	3.A.1.2.9_Q7BSH5	rhamnose transport system substrate-binding protein	NA	326.3	0.977	0.97735	1	8.81e-07	0.02265	1
rhaT1	K10562	3.6.3.17	3.A.1.2.9_Q7BSH4	rhamnose transport system ATP-binding protein [EC:3.6.3.17]	NA	701.2	0.928	0.8678	1	1.26e-07	0.1322	1
rhaT2	K02856	NA	2.A.7.6.1_P27125;2.A.7.6.2_M5UGY9;2.A.7.6.3_I3CAS8	L-rhamnose-H+ transport protein	NA	61.9	0.998767	0.99754	1	0	0.00246	1
rhtA	K11939	NA	2.A.7.3.6_P0AA67	inner membrane transporter RhtA	NA	107.2	0.996246	0.992521	1	0	0.007479	0.999999
rhtB	K05834	NA	2.A.76.1.1_P0AG34	homoserine/homoserine lactone efflux protein	NA	139.6	0.99868	0.99735	1	0	0.00265	1
rhtC	K05835	NA	2.A.76.1.2_P0AG38	threonine efflux protein	NA	177.8	1	1	1	0	0	1
ribS	K02051	NA	3.A.1.17.11_D1CEG8;3.A.1.17.14_A9WGD2;3.A.1.17.7_A7NLS2	NitT/TauT family transport system substrate-binding protein	NA	135.4	0.710531	0.902088	0.999	0.00053	0.097912	0.999388
ribP	K02050	NA	3.A.1.17.11_D1CEG9;3.A.1.17.14_A9WGD1;3.A.1.17.7_A7NLS3	NitT/TauT family transport system permease protein	NA	134.6	0.757714	0.980498	0.999	0.000538	0.019502	0.999445
rocE	K02205	NA	2.A.3.1.11_P39137	arginine/ornithine permease	NA	747.3	0.891	0.8289	1	1.39e-06	0.17109	1
rutG	K09016	NA	2.A.40.1.3_P75892	putative pyrimidine permease RutG	NA	347.5	0.99	0.98953	1	2.52e-07	0.01047	0.999999
sam	K15270	NA	2.A.7.3.54_Q1MIM3	S-adenosylmethionine uptake transporter	NA	164.6	1	1	1	0	0	1
sapA	K19226	NA	3.A.1.5.5	cationic peptide transport system substrate-binding protein	NA	640	0.971731	0.96154	1	1.26e-06	0.03846	0.999996
sapB	K19227	NA	3.A.1.5.5	cationic peptide transport system permease protein	NA	365.2	0.994819	0.9897	1	0	0.01031	1
sapC	K19228	NA	3.A.1.5.5	cationic peptide transport system permease protein	NA	347.2	0.995701	0.99485	1	2.52e-07	0.00515	1
sapD	K19229	NA	3.A.1.5.5	cationic peptide transport system ATP-binding protein	NA	498.7	0.982906	0.99138	1	1.89e-06	0.00862	0.999997
sapF	K19230	NA	3.A.1.5.5	cationic peptide transport system ATP-binding protein	NA	442	0.396927	0.53356	1	8.45e-05	0.46644	1
satP	K07034	NA	2.A.96.1.1_P0AC98	uncharacterized protein	NA	36	0.999493	0.99899	1	0	0.00101	1
scrEIIA	K02808	2.7.1.69	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	PTS system, sucrose-specific IIA component [EC:2.7.1.69]	NA	696.9	0.907	0.92533	1	5.41e-06	0.07467	1
scrEIIB	K02809	2.7.1.69	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	PTS system, sucrose-specific IIB component [EC:2.7.1.69]	NA	459.9	0.882353	0.94352	1	3.83e-05	0.05648	0.999951
scrEIIC	K02810	NA	4.A.1.2.10_P15400;4.A.1.2.12_Q8NMD6;4.A.1.2.16_ART98386;4.A.1.2.1_P08470;4.A.1.2.9_P05306	PTS system, sucrose-specific IIC component	NA	576.8	0.818271	0.798589	1	3.01e-05	0.201411	0.99993
scrY	K16077	NA	1.B.3.1.2_P22340	sucrose porin	NA	229.6	0.995	0.99026	1	0	0.00974	1
sdaC	K03837	NA	2.A.42.2.1_P0AAD6	serine transporter	NA	523	0.955791	0.915326	1	0	0.084674	0.999987
sitA	K11604	NA	3.A.1.15.7;3.A.1.15.9	manganese/iron transport system substrate-binding protein	NA	474.6	0.975659	0.95248	1	0	0.04752	1
sitB	K11607	NA	3.A.1.15.7;3.A.1.15.9	manganese/iron transport system ATP-binding protein	NA	374.8	0.975321	0.98998	1	2.52e-06	0.01002	1
sitC	K11605	NA	3.A.1.15.7;3.A.1.15.9	manganese/iron transport system permease protein	NA	355.1	0.980866	0.97206	1	6.3e-07	0.02794	1
sitD	K11606	NA	3.A.1.15.7;3.A.1.15.9	manganese/iron transport system permease protein	NA	372.2	0.97665	0.95437	1	0	0.04563	1
smeB	K18322	NA	2.A.6.2.41	multidrug efflux pump	NA	1875.3	1	1	1	0	0	1
smeC	K18323	NA	1.B.17;2.A.6.2.41	outer membrane protein, multidrug efflux system	NA	721.5	1	1	1	0	0	1
sorEIIA	K02812	2.7.1.69	4.A.6.1.3_P37080	PTS system, sorbose-specific IIA component [EC:2.7.1.69]	NA	163.2	0.991	0.98165	1	0	0.01835	1
sorEIIB	K02813	2.7.1.69	4.A.6.1.24_A1RZ66;4.A.6.1.3_P37081	PTS system, sorbose-specific IIB component [EC:2.7.1.69]	NA	261.4	0.991	0.9821	1	0	0.01786	1
sorEIIC	K02814	NA	4.A.6.1.1_P69801;4.A.6.1.3_P37082	PTS system, sorbose-specific IIC component	NA	445.7	0.987	0.975	1	0	0.025	1
sorEIID	K02815	NA	4.A.6.1.3_P37083	PTS system, sorbose-specific IID component	NA	476.9	1	1	1	0	0	1
sotB	K08159	NA	2.A.1.2.15_P31122;2.A.1.2.18_Q9S3J9	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein	NA	283.5	0.980198	0.98835	1	2.14e-06	0.0116	1
sstT	K07862	NA	2.A.23.4.1_P0AGE4	serine/threonine transporter	NA	181.5	0.997638	0.995287	1	0	0.004713	0.999999
ssuB	K15555	3.6.3.-	3.A.1.17.2	sulfonate transport system ATP-binding protein [EC:3.6.3.-]	NA	299.1	0.801967	0.843682	1	6.02e-05	0.156318	0.999904
ssuC	K15554	NA	3.A.1.17.2	sulfonate transport system permease protein	NA	268.8	0.963375	0.9348	1	1.51e-06	0.0652	0.999982
ssuA	K15553	NA	3.A.1.17.2	sulfonate transport system substrate-binding protein	NA	190.3	0.95047	0.96642	1	2.32e-05	0.033577	0.999965
steA	K18216	NA	3.A.1	ATP-binding cassette, subfamily B, tetracycline resistant protein	NA	805.5	0.977	0.955	1	0	0.0455	1
steB	K18217	NA	3.A.1	ATP-binding cassette, subfamily B, tetracycline resistant protein	NA	775.3	0.977	0.9556	1	0	0.0444	1
sugP	K02025	NA	3.A.1.1.31_O50452;3.A.1.1.37_Q9WYB4;3.A.1.1.41_G4FGN7;3.A.1.1.42_Q9FBS6;3.A.1.1.43_Q9FBS6;3.A.1.1.46_P0AFR7;3.A.1.1.48_D6ZW63;3.A.1.1.7_O51924	multiple sugar transport system permease protein	NA	260.6	0.697514	0.823508	0.999	0.000548	0.176492	0.99927
sugP1	K02026	NA	3.A.1.1.31_O50453;3.A.1.1.41_G4FGN6;3.A.1.1.46_P77716;3.A.1.1.48_D6ZW62;3.A.1.1.7_O51925	multiple sugar transport system permease protein	NA	253.4	0.699568	0.807555	0.999	0.000513	0.192445	0.99929
sugS1	K02027	NA	3.A.1.1.31_Q7D8J9;3.A.1.1.41_G4FGN8;3.A.1.1.42_Q9FBS5;3.A.1.1.43_Q9FBS5;3.A.1.1.46_P76042;3.A.1.1.48_D6ZW64;3.A.1.1.7_O51923	multiple sugar transport system substrate-binding protein	NA	227.7	0.675129	0.728551	1	0.000451	0.27145	0.99927
sugA	K02056	3.6.3.17	3.A.1.2.14_Q0HIQ7;3.A.1.2.20_G4FGN3;3.A.1.2.23_Q8G847;3.A.1.2.25_Q6BEX0;3.A.1.2.27_P77509;3.A.1.2.10_O83341;3.A.1.2.12_Q8DU37;3.A.1.2.17_A2RKA7;3.A.1.2.28_R9USS2	simple sugar transport system ATP-binding protein [EC:3.6.3.17]	NA	572.3	0.49136	0.590577	0.999	0.000533	0.409423	0.9992
sugP2	K02057	NA	3.A.1.2.14_Q0HIQ5;3.A.1.2.14_Q0HIQ6;3.A.1.2.18_Q9WXW0;3.A.1.2.23_Q8G845;3.A.1.2.23_Q8G846;3.A.1.2.25_P37772;3.A.1.2.25_P39328;3.A.1.2.27_P77315;3.A.1.2.10_O83342;3.A.1.2.10_O83343;3.A.1.2.12_Q8DU38;3.A.1.2.12_Q8DU39;3.A.1.2.17_A2RKA5;3.A.1.2.17_A2RKA6;3.A.1.2.28_O83323;3.A.1.2.28_O83324	simple sugar transport system permease protein	NA	204.3	0.592339	0.859831	0.999	0.00115	0.14017	0.9987
sugS2	K02058	NA	3.A.1.2.14_Q0HIQ8;3.A.1.2.23_Q8G848;3.A.1.2.25_P39325;3.A.1.2.27_P77269;3.A.1.2.28_R9UW99	simple sugar transport system substrate-binding protein	NA	216.1	0.707794	0.726831	1	0.000127	0.27317	0.999767
syrD	K06161	NA	3.A.1.113.1	putative ATP-binding cassette transporter	NA	1087.5	1	1	1	0	0	1
tagH	K09693	3.6.3.40	3.A.1.104	teichoic acid transport system ATP-binding protein [EC:3.6.3.40]	NA	358.2	0.876061	0.78899	1	1.01e-06	0.21101	1
tagG	K09692	NA	3.A.1.104	teichoic acid transport system permease protein	NA	193.4	0.894654	0.84547	1	3.78e-06	0.15453	1
